Place,Crop,Year,Area(Hectare),Production(Tonnes),Yield(Tonnes/Hectare)
Bangalore,Potato,1998-99,1047,13875,13.25
Bangalore,Potato,2005-06,1586,18764,11.83
Bangalore,Potato,2007-08,1280,13678,10.69
Bangalore,Potato,2008-09,1093,16884,15.45
Bangalore,Potato,2009-10,994,14022,14.11
Bangalore,Potato,2010-11,1041,28008,26.90
Bangalore,Potato,2011-12,1093,19637,17.97
Bangalore,Potato,2012-13,704,8688,12.34
Bangalore,Potato,2013-14,1321,12119,9.17
Bangalore,Potato,2014-15,795,9332,11.74
Bangalore,Potato,2015-16,484,3048,6.30
Bangalore,Potato,2016-17,277,3330,12.02

