Crop, Rainfall, Temperature, pH 
Bajra,612.7,28.33,6.2
Barley,939.5,27.66,6.2
Bean,274.8,29.5,6.2
Bottle Gourd,274.8,29.5,6.2
Brinjal,612.7,28.33,6.2
Chillies,612.7,28.33,6.2
Coriander,612.7,28.33,6.2
Cowpea,1212.7,27.22,6.2
Ginger,1334.5,24.56,6.2
Groundnut,612.7,28.33,6.2
Guar seed,612.7,28.33,6.2
Jowar,612.7,28.33,6.2
Khesari,939.5,27.66,6.2
Lady Finger,274.8,29.5,6.2
Lentil,612.7,28.33,6.2
Linseed,1212.7,27.22,6.2
Maize,1312.4,26.64,6.2
Moong(Green Gram),274.8,29.5,6.2
Orange,939.5,27.66,6.2
Potato,612.7,28.33,6.2
Raddish,274.8,29.5,6.2
Ragi,939.5,27.66,6.2
Sannhamp,1212.7,27.22,6.2
Sesamum,939.5,27.66,6.2
Sunflower,939.5,27.66,6.2
Sweet potato,1212.7,27.22,6.2
Tapioca,1212.7,27.22,6.2
Urad,612.7,28.33,6.2
Varagu,939.5,27.66,6.2
Wheat,612.7,28.33,6.2
